,filmtv_id,title,year,genre,duration,country,directors,actors,avg_vote,critics_vote,public_vote,total_votes,description,notes,humor,rhythm,effort,tension,erotism
19371,33969,The Kid from Texas,1950,Western,78,United States,Kurt Neumann,"Audie Murphy, Gale Storm, Albert Dekker, Shepperd Strudwick",6.5,,7.0,4,"Bill is a very young Texas cowboy who, after killing a man who insulted his mother, is forced to flee. He finds refuge with a breeder, Roger, who becomes a close friend to him. Unfortunately, Roger is killed by competing breeders. Bill then vows to take revenge.",,0,0,0,0,0
23481,42514,Polar Storm ,2009,Action,92,United States,Paul Ziller,"Jack Coleman, Holly Dignard, Tyler Johnston, Terry David Mulligan, Roger R. Cross, David Lewis, Rob Morton, Emma Lahana, Nicholas Carella, Marsha Regis",3.7,4.0,3.0,21,"The comet named by scholars ""Copernicus"" seems to be heading menacingly towards the Earth. Fortunately, scientists' calculations indicate that the celestial body should not collide with the planet, but due to electromagnetic interference the risk of an impact is likely to materialize. A fragment falls on Alaska, thus unleashing a devastating storm that undermines the balance of the planet. The government tries to hide what happened due to the lack of information on the danger. Astrophysicist James Mayfield witnesses the events and together with his wife Cinthya studies the phenomenon and tries to find a solution to the problem. The population is in danger ...",,0,1,1,2,0
12647,20290,Fire Down Below,1997,Action,105,United States,Felix Enriquez Alcalà,"Steven Seagal, Marg Helgenberger, Stephen Lang, Brad Hunt",4.9,3.8,6.0,25,"Incredible amounts of toxic substances are buried in the hilly areas of Kentucky. Responsible for this havoc is the unscrupulous opportunist Orin Hammer. The shady individual is the head of a real criminal organization. Environmentalist Jack Taggart declares war on him. Hammer and his gang are also suspected of murder. They were in fact responsible for the murder of a former colleague of Jack. If no one tries to stop them, the entire natural heritage of the American state will be completely destroyed.",Steven Seagal as the environmentalist is really ridiculous.,0,2,0,3,0
19843,35557,Twitches,2005,Fantasy,86,United States,Stuart Gillard,"Tia Mowry-Hardrict, Tamera Mowry, Kristen Wilson, Patrick Fabian",5.3,6.0,5.0,4,"Twin witches Camryn and Alex, separated at birth, reunited after 21 years and saved their magical kingdom from evil and dark power. Now they try to make up for lost time and get to know each other better, perfecting their magic together and developing their powers ...",,1,2,0,1,0
34329,149355,Totem,2017,Horror,89,United States,Marcel Sarmiento,"Kerris Dorsey, Ahna O'Reilly, James Tupper, Lia McHugh, Braeden Lemasters, Lawrence Pressman, Jocelyn Ayanna, Aja Bair, Allison Caetano, Evan Dickson",5.5,6.5,5.0,15,A teenager is forced to resort to extreme measures to protect her family from a supernatural entity.,,0,0,0,0,0
3461,5303,Piraña,1978,Horror,95,United States,Joe Dante,"Bradford Dillman, Heather Menzies, Kevin McCarthy",7.1,7.27,7.0,80,"The dr. Hoak has developed an unusual weapon: it is a new species of carnivorous fish that can live in both fresh and salt water. Paul and Maggie inadvertently spill them into a river; for the bloodthirsty fish the party begins, but the two responsible for the trouble are busy to make up for it.","Scripted by director John Sayles, it is the second feature by the author of ""Gremlins"". Inspired by the ""Shark"", this is a catastrophic film, low budget, well written and made. Nervous style and excellent special effects strike rightly low, while a satirical subtext on the idiocy of the poeter flows.",1,3,2,3,1
10642,16820,Escape from New York,1981,Fantasy,95,United States,John Carpenter,"Kurt Russell, Lee Van Cleef, Ernest Borgnine, Donald Pleasence, Harry Dean Stanton, Adrienne Barbeau",8.1,7.94,8.0,538,"In the very near future the entire city of New York, now ungovernable and prey to metropolitan gangs of bandits, is transformed into a huge prison from which no one can escape. But it happens that the presidential plane, hijacked by a group of terrorists, crashes on the city. Saved by a special capsule, the first citizen of America is taken hostage by the gang of the ""Duke"" who, in exchange, asks for his freedom. The police then infiltrate Jena Plinski, who must complete her mission in just 24 hours.","From an action film and thriller specialist like Carpenter you expect exactly what the film proposes: breathtaking pace, great emotions, apocalyptic vision. A classic of modern science fiction.",1,4,4,4,0
9374,14682,Day of the Badman,1957,Western,83,United States,Harry Keller,"Fred MacMurray, Joan Weldon, John Ericson",5.7,6.0,5.0,7,"Four outlaws, belonging to the infamous Hayes family, arrive in a small village in the West. Their intention is to prevent the death sentence of Rud Hayes, a relative awaiting trial. For this they try to intimidate Sheriff Wiley, the jury and Judge Jim Scott himself. The citizens, terrified, would like to bow to the will of the bandits, but the sheriff disagrees. Also, Wiley's girlfriend is in love with Jim. It is a western by way and by profession, without great emotions. Incidentally, the cinemascope format is unmotivated, as the film takes place mostly indoors.",,0,2,0,2,0
10753,16994,The Macomber Affair,1947,Adventure,85,United States,Zoltan Korda,"Gregory Peck, Joan Bennett, Robert Preston, Reginald Denny",6.0,6.0,6.0,4,"A young American married couple arrives in Africa to take part in a safari. On the spot the two engage the best local hunter and with him begin their adventure. The husband wishes to redeem himself with an act of courage in the eyes of his wife, who does not consider him manly enough.","Taken from the first of Hemingway's ""49 tales"", the film diverges from the plot of the book in the ending, which is less bitter here. Although not very original, it is a fairly direct and interpreted work.",0,2,0,2,1
7116,11089,Ticks,1993,Horror,83,United States,Tony Randel,"Ami Dolenz, Rosalind Allen, Seth Green, Alfonso Ribeiro",5.4,4.0,7.0,8,A social worker and a sociologist organize the vacation of a group of teenagers in Northern California. The guys aren't thrilled with the idea and the follow-up proves them right. As soon as they arrive in the forest they begin to be attacked by strange mutant animals capable of sucking the saliva of the unfortunates they manage to reach. Final scene with the horde of insects marching towards the boys' hut.,Yet another horror variant on the perverse nature of chemical agents that produce biological mutations: in this case it is fertilizers used to grow marijuana. What is not clear is why Randel believes he is a director.,0,1,0,1,0
9484,14846,The Good Old Boys,1995,Western,120,United States,Tommy Lee Jones,"Tommy Lee Jones, Sam Shepard, Sissy Spacek",7.2,7.0,7.0,5,"Hewey Calloway is a mature cowboy, as proud as the land he comes from. After long wanderings, he returns to his brother Walter's farm in the endless Texas countryside. He struggles to adapt to sedentary life, also because Walter is very different from him, used as he is to the rhythms of the small town. But when it comes to taking sides against the bullying of a banker, Hewey finds in Walter a valid ally; at the same time the rude cowboy falls in love with a proud teacher.","Actor Tommy Lee Jones not only stars, but makes a convincing debut as a screenwriter and director.",1,2,0,2,0
538,854,Yellowbeard,1983,Adventure,91,United States,Mel Damski,"Graham Chapman, Peter Boyle, Marty Feldman, Eric Idle, Cheech Marin, Tommy Chong, Peter Cook, Martin Hewitt, Michael Hordern, Madeline Kahn, James Mason, John Cleese",4.8,5.0,5.0,9,"England, late 1600s. Yellowbeard, former pirate of the Jamaica Sea, manages to escape from the prisons of His British Majesty. The corsair wants to recover a treasure whose map, before being destroyed, was tattooed on the skull of his child. Except that the son is now a bold twenty and, in the treasure, many are interested.","It is a comic reinterpretation - with Monty Python among the performers - of the adventurous trend of piracy. The whole is quite ramshackle, despite the merits of the historical reconstruction and some spectacular solutions. The dubbing is not very accurate either.",3,2,0,0,1
25023,45539,Twixt,2011,Horror,90,United States,Francis Ford Coppola,"Val Kilmer, Bruce Dern, Ben Chaplin, Elle Fanning, Joanne Whalley, David Paymer, Alden Ehrenreich, Anthony Fusco, Don Novello, Ryan Simpkins",6.9,6.82,7.0,51,"Hall Baltimore (Val Kilmer), writer of third-rate horror books, arrives on the presentation tour of his latest novel in a small town where he is involved by the local sheriff (Bruce Dern) in the case of the mysterious death of a young woman. girl. That same night, Hall, who has also lost a daughter, receives a visit from the ghost of another girl (Elle Fanning) who takes him around to discover old dark secrets, which reveal aspects of the past that also involve him and the writer Edgar Allan Poe (Ben Chaplin).",,0,1,1,1,0
5368,8312,Wild Justice,1993,Action,120,United States,Tony Wharmby,"Roy Scheider, Patricia Millardet, Ted McGinley",4.8,4.0,6.0,4,"Peter Stride is a former colonel hired by wealthy Magda Altman to track down a dangerous international terrorist: the Caliph. Things get tough quickly. First the Caliph kidnaps his daughter and then kills his best friend who helped him in the search. Peter comes to the conclusion that the Caliph is just Magda, but then comes the showdown with a final twist. Episode shortened from an American television miniseries. Full throttle guards and robbers for seen and seen adventures. Non-existent characters and childish dialogues make an operation that simply aims to fill two hours of programming on TV even more vain.",,0,2,0,1,0
550,869,Ice Station Zebra,1968,Adventure,148,United States,John Sturges,"Rock Hudson, Patrick McGoohan, Ernest Borgnine, Jim Brown, Tony Bill, Lloyd Nolan, Alf Kjellin, Gerald S. O'Loughlin, Ted Hartley, Murray Rose",4.9,4.0,6.0,30,"James Ferraday, commander of the ""Tigerfish"", an American nuclear submarine, is ordered to come to the rescue of the ""Arctic Base Zebra"", an English weather station located in the North Pole. Forced to embark two civilians and a group of marines, the commander is right to believe that this is something other than a rescue mission. In fact, a Soviet satellite crashed in the area carrying very precious information for the CIA. Only the Russians weren't watching too ...","When the war was still ""cold"", a good dose of healthy cinematographic anticommunism made in the USA didn't hurt. Normal war-spy show.",0,2,0,1,0
20119,36662,The Marksman,2005,Action,95,United States,Marcus Adams,"Wesley Snipes, Emma Samms, William Hope, Anthony Warren, Peter Youngblood Hills, Ryan McCluskey, Warren Derosa, Dan Badarau, Serge Soric",3.7,4.0,3.0,16,"A group of Chechen rebels occupy a thermonuclear facility and threaten to blow it up at any moment. To prevent the catastrophe, the US government hires Painter, a brave Special Forces agent, placing him in charge of a highly specialized counter-terrorist commando ...",,0,2,0,1,0
13230,21271,Exit Wounds,2000,Action,100,United States,Andrzej Bartkowiak,"Steven Seagal, DMX, Anthony Anderson, Bille Duke, Isaiah Washington",5.2,5.8,5.0,36,"We are in Detroit and an overly angry and taciturn cop is punished and sent to a district at risk. Fifty kilos of heroin disappear and the easy-fisted detective suspects that some colleagues are involved in the dirty business. He will fight, beyond the law, to the last move, with the help of Latrell Walker, internet genius and with a brother in jail.","The pirouettes, kicks and blows (this is in a film in which the dialogue scenes are banal connections in a plot built on a frenetic progression of pure ""action""), are broken up into deliberately confused images as if to mask the lost Steven Seagal's agility that needs neither asking nor acting.",0,2,0,2,0
4926,7552,Tha Man from Laramie,1955,Western,104,United States,Anthony Mann,"James Stewart, Arthur Kennedy, Donald Crisp, Cathy O'Donnell",8.0,8.27,8.0,116,"Captain Lockhart must stop an arms trade that someone sells to the Apaches. Dave, the son of a wealthy landowner, is involved, and when the young man is killed his father puts the blame on Lockhart and tries to avenge him. But the black soul of the whole operation is Vic, Dave's lieutenant, who also tries to kill the old man, saved instead by Lockhart. A classic of the genre, almost a classic tragedy, directed by a director who is one of the greatest storytellers of the western epic and with performers who work at their best. From a novel by Louis L'Amour.",,1,3,3,3,1
13900,22399,Fugitive Rage,1995,Action,88,United States,Fred Olen Ray,"Wendy Schumacher, Jay Richardson, Shauna O'Brien, Tim Abell",4.5,4.0,5.0,4,"Former policewoman Tara McCormick is arrested for the attempted murder of drug kingpin Tommy Stompanato. In prison, the woman befriends an inmate named Josie Williams; shortly thereafter, a government agent offers her a second chance to take out Tommy in exchange for her freedom. Tara accepts, and the hunt begins ...",,0,2,0,2,0
1982,3007,Demon Seed,1977,Fantasy,94,United States,Donald Cammell,"Julie Christie, Fritz Weaver, Gerrit Graham, Berry Kroeger, Lisa Lu, Larry J. Blake, John O'Leary, Alfred Dennis, Davis Roberts, Patricia Wilson",6.7,6.57,7.0,33,"After years of work in a secret laboratory, some scientists have developed Proteus IV, a very sophisticated computer, capable of self-programming and which highlights human behavior. Proteus soon shows that he is tormented by the idea of ??procreation and Susan, the wife of the computer programmer, pays the price. Not without difficulty Proteus is deactivated, but in the meantime Susan is expecting a baby.","On a subject fascinated by the myth of Beauty and the Beast, based on a novel by Dean R. Koontz, Cammell constructs a film that oscillates between pure thriller and science fiction. Charming and mysterious Julie Christie.",0,3,1,2,1
5663,8826,Captain from Castile,1947,Adventure,140,United States,Henry King,"Tyrone Power, Jean Peters, Lee J. Cobb, Cesar Romero, John Sutton",7.1,7.0,7.0,20,"In 1518 Pedro Vargas, a Spanish gentleman, saves a runaway slave, escapes the Inquisition, which however kills his sister, and injures Don Diego De Silva, owner of the slave, in a duel. Then follows Fernando Cortez to America. Here Don Diego reappears, who is murdered. Pedro is immediately suspected of the murder and risks hanging but, acquitted, he will follow Cortez until victory.",The historical background acts as a simple support for a show in which adventure predominates. Enjoyable.,0,3,0,2,0
12483,19961,Icebreaker,1999,Action,90,United States,David Giancola,"Sean Astin, Bruce Campbell, Stacy Keach, Suzanne Turner",6.0,6.0,6.0,3,"A serious threat looms over Killington ski resort, one of the most renowned in the United States. The evil Greig, leader of a group of terrorists, takes some tourists hostage and hides them in a secret place. To keep them company, a not very nice nuclear warhead stolen from an army arsenal. On the trail of the terrorists, a mountain rescue officer, Matt Foster. Who engages in a fight against time also to free his girlfriend, locked up with the other hostages.",A high-adrenalin-fueled TV movie that has its strong point in the mountain setting.,0,2,0,2,0
18318,30984,The Hunting Party,1971,Western,108,United States,Don Medford,"Gene Hackman, Oliver Reed, Candice Bergen, Simon Oakland",7.1,7.33,7.0,30,"Frank, leader of a gang of outlaws, would like to learn to read and write and for this reason he kidnaps Melissa, a young teacher wife of Brandt, rich and degenerate ranchero. He, reached by the news of the kidnapping while some friends are traveling on a hunting trip during which long-range rifles and telescopes are tested, begins the search for the kidnappers. Meanwhile, Melissa, several times protected by Frank from the assaults of the other members of the gang, falls in love with him. The two attempt to save themselves by reaching the border and trying to escape Brandt's hunt.",Violent and rather crude Western.,0,3,1,3,1
24079,43612,Super,2010,Action,96,United States,James Gunn,"Rainn Wilson, Ellen Page, Liv Tyler, Kevin Bacon, Gregg Henry, Michael Rooker, Andre Royo, Sean Gunn, Stephen Blackehart, Linda Cardellini, Nathan Fillion",6.7,6.57,7.0,104,"Frank is like many others, clumsy and mistreated by life. But when his wife leaves him to hook up with a drug dealer, Frank decides to become a superhero, at war with the bad guys. At his side a special ally: the saleswoman of a comic shop.","Gunn knows how to stage a madness with an artisan flavor, far from the cartoon and digital security of the Hollywood patina and crossed by flashes of hyperviolence. The grotesque splatter fun, however, is only one layer, under which lies a sore melon, which in the end will risk breaking your heart.",2,3,1,2,1
18877,32638,The Old Dark House,1963,Horror,86,United States,William Castle,"Tom Poston, Robert Morley, Janette Scott, Joyce Grenfell",5.5,5.0,6.0,11,"Tom, a traveling salesman who trades in American cars, arrives one evening at Femm Castle in Wales to deliver one. Tom finds his client Caspar dead in a trap door in the manor, but that's not the only, shall we say, strange thing he discovers. The surprise is great when he gets to know the other members of the family, including the sisters of the deceased Morgana and Cecily. But the troubles for him are not over because other cruel crimes are committed in the old castle.","Remake of the film of the same name directed by James Whale in 1932. Back then the actors were called Boris Karloff, Melvyn Douglas and Charles Laughton. Production is Columbia, Hammer and Castle.",0,0,0,0,0
29072,65253,Cell,2016,Action,98,United States,Tod Williams,"Samuel L. Jackson, John Cusack, Isabelle Fuhrman, Owen Teague, Stacy Keach, Wilbur Fitzgerald, Catherine Dyer, Joshua Mikel, Michael Beasley, Anthony Reynolds, Alex ter Avest, Rey Hernandez",4.5,4.7,4.0,84,"A strange signal is propagating through mobile phone networks around the world. Thus begins a lethal epidemic of epic proportions that turns users into bloodthirsty creatures. Among the few survivors there is a group of people from New England, called to deal with the chaos generated.",,0,1,1,1,0
3754,5742,Rage and Honor,1992,Action,89,United States,Terence H. Winkless,"Cynthia Rothrock, Richard Norton, Terri Treas, Brian Thompson",6.0,4.0,8.0,4,"Kris Fairchild (Rothroch) is a high school teacher, but her real specialty is hand-to-hand combat. Preston Michaels (Norton) is a taciturn police officer who came undercover from Australia. The two embark on a mission together and, using kicks, punches and various forbidden blows, they manage to defeat a drug kingpin and with him also the corrupt cops. The film is not much more than a series of fights, one after the other, almost at random. To be recommended only to martial arts fanatics and especially those of Rothrock who, of her genre, is a little star.",,0,1,0,0,0
11570,18396,Virus,1999,Fantasy,90,United States,John Bruno,"Jamie Lee Curtis, William Baldwin, Donald Sutherland",4.8,4.8,5.0,49,"Taken by surprise by a terrible typhoon in the South Pacific, the tugboat Sea Star loses its steel cargo and risks sinking. The seven men of the crew manage to lead the now out of use boat to a relatively quiet place. Suddenly they notice a huge Russian research ship, adrift and apparently abandoned. But a terrible alien force is hiding in the Russian ship ...","An inexhaustible déjà vu experience for science fiction lovers. Taken from a mediocre comic book by Chuck Pfarrer and directed by the newcomer Bruno, a special effects technician, the film involves great actors in a shipwreck, but also annoys for the dated portrait reserved for the Russians, treacherous and warmongers as in McCarthyism.",1,2,1,1,0
11396,18133,Alien Nation,1988,Fantasy,94,United States,Graham Baker,"James Caan, Mandy Patinkin, Terence Stamp, Kevin Major, Brian Thompson, Peter Jason, Leslie Bevis, Conrad Dunn, Jeff Kober, Brian Thompson",6.8,7.25,6.0,42,"A large number of aliens capable of adapting to human life have been transported from another planet to Earth in a large spaceship. Equipped with special qualities, they do not struggle to fit into the daily life of humans even if some are viewed with much contempt by earthlings. One night, during a robbery, police sergeant Matthew Sykes sees his closest friend killed by aliens. To find out the perpetrators of the murder and, above all, the motive, he begins the investigation, naturally with the help of another alien.","Unusual film capable of mixing thriller and science fiction, with clear intentions of allegory of the melting pot. Two TV series of the same title have been made from it.",1,3,1,3,1
32018,84958,Operator,2015,Action,88,United States,"Amariah Olson, Obin Olson","Ving Rhames, Luke Goss, Mischa Barton, Michael Paré, Riley Bundick, Tony Demil, Maurice Chevalier (II), Walter Hendrix III, Wendell Kinney, Summer Perkins",3.3,3.0,4.0,12,The daughter of a 911 operator and a policeman - an estranged husband - is kidnapped. They will be forced to send police and fire brigade units to remote locations under the orders of the kidnappers.,,0,0,0,0,0
21963,39768,Moondance Alexander,2007,Adventure,94,United States,Michael Damian,"Kay Panabaker, Don Johnson, Lori Loughlin, James Best, Sasha Cohen, Whitney Sloan, Joe Norman Shaw, Mimi Gianopulos, Aedan Tomney, Landon Liboiron",4.3,4.0,5.0,7,"Moondance Alexander is a lively little provincial girl who lives with an eccentric mother. At the beginning of yet another boring summer, one day he meets Checkers, a pony who has escaped from a farm. Once the pony is returned, Moondance is convinced that she has great qualities as a jumper and asks the owner (Don Johnson) to hire her as a groom and teach her to jump obstacles in order to participate in a great competition held in the county during the summer: an adventure that will lead her to win numerous races and to defeat the skepticism of her companions.",,0,2,0,1,0
10531,16620,Alien Resurrection,1997,Fantasy,100,United States,Jean-Pierre Jeunet,"Sigourney Weaver, Winona Ryder, Dominique Pinon, Brad Dourif",6.8,6.89,7.0,272,"Two hundred years have passed and a difficult cloning experiment is being successfully completed on the spaceship Auriga. Clone 8, or the new Ripley, is not only alive and kicking, but in the operation she had an abortion that separated her from the alien fetus she carried inside. But there's something weird Ripley doesn't remember anything from her past and she's gotten worse and there's a scientist conducting weird experiments.","Jeunet, although openly disinterested in the action part of the film (which is in fact the weakest), found himself at home in the technological-crumbling tunnels of the Auriga space base, among the unsuccessful clones, the laboratory monsters, in the alien nursery ""implanted"" in humans. The film is marked by its very black sense of the grotesque and, of course, by the dominant presence of Sigourney Weaver, a heroine returned from the realm of the dead, now ""changed"", withered and gloomy, capable of an almost carnal relationship with the alien (who, after all, it is flesh of his flesh). Her obstinacy to protect humanity (she who is no longer human) almost consigns her to tragedy.",1,3,1,4,0
11586,18425,The Nesting,1981,Horror,92,United States,Armand Weston,"John Carradine, Gloria Grahame, Robin Groves",3.8,4.0,4.0,5,"A writer of gothic novels is drawn to a large, apparently uninhabited Victorian-era house. Obviously the house is far from uninhabited. Inside you will find the most imaginative and evil creatures protagonists of his stories.","In the 1980s when splatters and severed heads were the order of the day in horror film scripts, few examples of good cinema were seen (Sam Raimi's ""The House"" (1983) is one of the few examples). This ""La casa de sorcery"" is certainly no better than the others.",0,2,0,2,0
20527,37300,Martin,1976,Horror,85,United States,George Romero,"John Amplas, Lincoln Maazel, Tom Savini, Forrest Romero",7.5,7.43,8.0,50,"Martin is a young man of 18 who claims to have lived through 84 years. His cousin Tata Cuda believes he is a deeply evil vampire. When Martin moves in with him in a small town in Pennsylvania, his cousin decides that if he has evidence of even one vampirism incident he will destroy the young man. But Martin's urges are difficult to control and when he falls in love with a housewife will he manage not to bite her on the neck?","Romero starts from a horror plot but, while not lacking some gore sequences, he actually realizes a refined work on the characters and a critical reflection within the same genre.",0,2,1,3,1
2093,3183,Posse,1975,Western,90,United States,Kirk Douglas,"Kirk Douglas, Bruce Dern, Bo Hopkins, James Stacy, Luke Askew, David Canary, Alfonso Arau, Katherine Woodville, Mark Roberts, Beth Brickell",6.6,7.0,6.0,27,A politician (Douglas) hires adventurers to catch an outlaw (Dern). But it turns out he is almost a popular idol. Little violence and a lot of psychological tension: a surprising neo-western directed and starring Kirk Douglas.,,0,2,2,1,0
15280,24738,Jumping Ship,2001,Adventure,100,United States,Michael Lange,"Joey Lawrence, Andrew Lawrence, Matthew Lawrence, Susan Walters",8.0,6.0,10.0,3,"Michael and his cousin Tommy charter a luxury yacht on which they hope to have an unforgettable vacation. But their dreams of grandeur are shattered when they discover that the boat is a tub. And that's not all. Attacked by modern-day pirates, the two are forced to land on a desert island.",,0,2,0,2,0
6685,10400,Last Action Hero,1993,Fantasy,130,United States,John McTiernan,"Arnold Schwarzenegger, Austin O'Brien, Charles Dance, F. Murray Abraham",6.2,6.0,6.0,115,"Thanks to a magic ticket, little Benedict can enter the world of the film of his favorite hero, Slater (Schwarzenegger). When Benedict and Slater are in trouble, the ticket is used for the reverse journey: from fiction to reality. But here things are not going so well for the man who, in the cinema, was a real superman, and Slater decides to go back to the dimension of the illusory.","The Americans didn't like it because it was ""too complicated""! Instead, it is witty, very lively, self-deprecating, full of quotes for the pleasure of cinephiles. If anything, it's not a brand new idea, but even Schwarzy tries hard not to be trivial.",2,3,1,2,0
665,1037,The Hangman,1959,Western,86,United States,Michael Curtiz,"Robert Taylor, Tina Louise, Fess Parker, Jack Lord, Gene Evans, Mickey Shaughnessy, Shirley Harmer, James Westerfield",5.9,5.0,7.0,12,"Young Butterfield is accused of complicity in the bloody assault on a stagecoach. The inflexible Sheriff Bovard, who has never seen him, looks for him helped by Sheila, a widow who has known him. Butterfield is married under a false name in North Creeck, where he works esteemed by the townspeople and the sheriff. Everyone knows his story and they know he is innocent. And even tough Bovard will understand this. Flawless little western by the old Curtiz, here almost at the end of his career (like the protagonist Taylor).",,1,2,1,2,1
4766,7317,Three Hours to Kill,1954,Western,77,United States,Al Werker,"Dana Andrews, Donna Reed",7.8,8.0,8.0,3,"A stagecoach driver accused of a crime has three hours to prove his innocence. An hour and a quarter of tight, thrilling action: the best of Serie B.",,0,0,0,0,0
30346,73595,Vice,2015,Action,96,United States,Brian A Miller,"Bruce Willis, Ambyr Childers, Thomas Jane, Bryan Greenberg, Charlotte Kirk, Brett Granstaff, Ryan O'Nan, Tyler J. Olson, Douglas M. Griffin, Martin Blencowe, Damon Lipari, Ashley Kirk",3.4,3.0,4.0,38,"Julian Michaels designed the resort of the resorts: Vice, a place where everything is allowed and customers can let loose their wildest fantasies with the artificial inhabitants of the place, similar to human beings. When she becomes aware of herself and runs away from Vice, an android will find herself at the center of attention of the mercenaries hired by Julian to find her and a policeman, intent on ending the violence of the resort forever.",,0,0,0,0,0
27173,54107,6 Bullets,2012,Action,93,United States,Ernie Barbarash,"Jean-Claude Van Damme, Joe Flanigan, Bianca Bree, Kristopher Van Varenberg, Anna-Louise Plowman, Louis Dempsey, Terese Cilluffo, Jimmy Townsend, Uriel Emil Pollack, Charlotte Beaumont",6.3,8.0,5.0,18,"Former mercenary Samson Gaul (Van Damme) has decided to retire from the business following strong pangs of conscience. However, he decides to accept a new assignment when a mixed martial arts champion hires him with the aim of finding his young daughter who has been kidnapped.",,0,0,0,0,0
17425,28552,After the Sunset,2004,Action,97,United States,Brett Ratner,"Pierce Brosnan, Salma Hayek, Woody Harrelson, Don Cheadle, Naomie Harris, Chris Penn",5.0,4.38,6.0,72,"Max Burdett and Lola Cirillo, professional thieves, after a last millionaire heist take refuge in the Bahamas to enjoy the fruits of their thefts. But federal agent Stan Lloyd, who has been chasing them for eight years, discovers that the two are plotting a new and astonishing blow: the stakes, this time, will be a very precious diamond ...","In the delicate balance between action and comedy, the first works decidedly better than the second: which, compressed between the cries of Hayek and a slightly uncomfortable Harrelson in comic clothes, is weak and tears a few laughter without conviction. Brosnan's performance is also mediocre.",1,1,0,1,1
22524,40625,Surrogates ,2009,Fantasy,88,United States,Jonathan Mostow,"Bruce Willis, Radha Mitchell, Rosamund Pike, Ving Rhames, Michael Cudlitz, Helena Mattsson, Boris Kodjoe, Jack Noseworthy, Valerie Azlynn, Devin Ratray",5.9,5.65,6.0,195,"In the near future, the world is inhabited by human beings who live in total digital isolation, a sort of cyberspace where you can interact with the outside world through surrogates, or through personal androids, real humanoid alter egos. A policeman, also thanks to his robotic clone, is on the trail of a tech terrorist who dreams of a world where men can live without surrogates.","This film may be small, but it has all the stigmata of the great and beloved disciple of Don Siegel's Invasion of the Body Snatchers: ideologies waned, communism destroyed, now we are our own enemies.",1,2,2,3,0
16668,27144,Leprechaun,1993,Horror,92,United States,Mark Jones,"Warwick Davis, Jennifer Aniston, Ken Olandt, Mark Holton",4.0,4.0,4.0,13,"In Ireland, Dan O'Grady finds the gold of the ""leprechaun"", a sort of evil wood elf. Back home, the man locks the creature in the cellar and tries to burn it, but he dies of a heart attack; ten years later, J.D. and his daughter Tory buy Dan's house, unaware of what is hiding there ...",First episode of an endless horror-gothic series.,0,2,0,1,0
12457,19900,The Car,1977,Horror,95,United States,Elliot Silverstein,"James Brolin, Kathleen Lloyd, Ronny Cox",6.3,6.13,6.0,48,"In the quiet Californian countryside, a black out-of-production model is spotted one day, apparently without a driver and of an unknown brand. The car whizzes through the streets of the cities and kills anyone who comes within range. Someone tries to stop her, but the mechanical monster turns out to be animated by a demonic entity.","A theme that already fascinated the writer Richard Matheson (and that Stephen King will passionate about), that of the murderous mechanical means. Not surprisingly, Silverstein's film mentions ""Duel"", which was based precisely on a story by Matheson. Professional packaging but suspense to look for with the lantern.",1,3,1,3,0
1066,1631,Raw Deal,1986,Action,118,United States,John Irvin,"Arnold Schwarzenegger, Kathryn Harrold, Darren McCavin, Sam Wanamaker, Paul Shenar, Robert Davi, Ed Lauter, Joe Regalbuto, Steven Hill",4.8,4.4,5.0,69,"Banned from the FBI for his hasty methods, Mark Kaminski (Schwarzenegger) scrambles to find the killers of Harry Shannon's son, a no longer young ex-colleague. After faking his own death, he infiltrates the ranks of the powerful Petrovita mafia family, causing such a disruption that he is rehabilitated as a federal agent.","Fracassona and approximate story, which fails to please despite some successful touch of humor. Schwarzenegger, at the height of his career after films like ""Conan the Barbarian"" and ""Terminator"", could already afford to make a living on his character.",2,3,1,2,2
33931,145349,The Vault,2017,Horror,91,United States,Dan Bush,"James Franco, Taryn Manning, Francesca Eastwood, Scott Haze, Q'Orianka Kilcher, Jeff Gum, Clifton Collins jr., Keith Loneker, Jill Jane Clements, Michael Milford",4.6,4.5,5.0,28,"In an attempt to save their brother Michael's life, the two Dillon sisters - Leah and Vee - organize a bank robbery. Since they do not raise enough money in the upper deposit, on the advice of the bank manager Ed Maas, they rush to the lower level. Here, however, they make a terrible discovery. The two sisters will be forced to choose between facing the police outside or fighting the terrible supernatural forces that populate the basement of the bank.",,0,0,0,0,0
35907,168587,Eruption: LA,2018,Action,90,United States,Sean Cain,"Matthew Atkinson, Lexi Johnson, Eric Etebari, Amy Paffrath, Harry Van Gorkum, Tom Schanley, Victoria Gabrielle Platt, Matthew Willig, Kelcey Watson, Christina Wren",2.8,,3.0,6,"Josh Kendricks, a struggling screenwriter, finds himself at the center of a catastrophe due to volcanic eruptions that threaten to blow up all of Los Angeles. Together with Quinn Irwin, a scientist turned writer, and Hollywood star Kat Rivers, Josh will have to do everything to ensure that the city is not wiped out for good.",,0,0,0,0,0
